Product,Price per Unit,Qty,Estimated Price (USD),Link
2207 2400KV brushless motors,$13.63,4,$54,https://robu.in/product/sunfun-d2207-2600kv-bldc-motor
4-in-1 ESC 30A,$35.00,1,$35.00,https://robocraze.com/products/speedybee-f405-bls-50a-30x30-4-in-1-esc
PCB(JLCPCB),$154,1,$154,
Arms (petg-cf)(own expense),NIL,4,NIL,
Top Plate (petg-cf)(own expense),NIL,4,NIL,
Bottom Plate (petg-cf)(own expense),NIL,4,NIL,
M3 Screws,$6.00,1,$6.00,https://robu.in/product/easymech-ss-304-pan-philips-head-m3-x-5-mm-bolt-25-pcs
5-inch Tri-blade Props,$2,4,$8.00,https://robocraze.com/products/9450-carbon-fiber-propeller-for-f450-f550-drone-1-pair
XT60 Connector,$1.20,1,$1.20,https://www.amazon.in/Invento-8944638611431-Female-Connectors-Battery/dp/B06Y6NRP5T
Power Distribution Board,$4.00,1,$4.00,https://robu.in/product/cc3d-power-distribution-board-dual-bec-lc-filter-led-switch
Capacitor (35V 470uF),$2.50,2,$2.50,https://amzn.in/d/glLVvrR
Battery Strap,NIL,1,NIL,
LiPo Battery 4S 1500mAh 100C,$19.97,1,$19.97,https://amzn.in/d/bcKfxz0
FPV Camera (Analog),$27,1,$27,https://robu.in/product/foxeer-razer-mini-v2-fpv-camera
Video Transmitter (VTX),$23,1,,https://robu.in/product/hglrc-zeus-nano-vtx-350mw-16x16-20x20-25-5x25-5mm
Antenna (VTX),$7.11,1,$7.11,https://www.drkstore.in/flywoo-5-8ghz-light-5-8g-3dbi-brass-antenna-ufl-for-vtx/
GPS Module,$20,1,$20,https://www.drkstore.in/flyfishrc-m10-mini-gps-module/
Buzzer with LED,NIL,1,NIL,
Foam Landing Pads,NIL,1,NIL,
Heat Shrink Tubing,$4.00,1,$4.00,https://robocraze.com/products/530-pcs-color-shrink-tube-wire-insulation-sleeve
"Silicone Wires (14AWG, 20AWG)",$3.00,1,$3.00,https://robocraze.com/products/xt60-female-connector-with-silicon-wire
Flight Stack Mounting Grommets,$1.50,1,$1.50,https://amzn.in/d/hn6yIDM
,,,,
TOTAL,,,$370,
